epoch,train_loss,valid_loss,error_rate,accuracy,auroc,time
0,2.990241,2.362428,0.795084,0.204916,0.444756,08:35
1,2.489901,2.240327,0.783800,0.216200,0.436488,08:47
2,2.301499,2.187464,0.777554,0.222446,0.432991,07:08
3,2.128460,2.160338,0.720330,0.279670,0.406096,06:06
4,2.145430,2.131203,0.742091,0.257909,0.484318,05:54
5,1.961991,2.112898,0.721539,0.278461,0.420720,05:54
6,1.917529,2.113734,0.725972,0.274028,0.415070,05:56
7,1.834823,2.105199,0.706831,0.293169,0.435787,05:52
8,1.706624,2.201585,0.695950,0.304050,0.413393,05:50
9,1.645113,2.372931,0.698368,0.301632,0.417685,05:49
10,1.592931,2.236195,0.709651,0.290349,0.419082,05:51
11,1.579019,2.521994,0.711666,0.288334,0.428800,05:46
12,1.541036,2.478494,0.722950,0.277050,0.422293,05:44
13,1.340974,2.557269,0.701592,0.298408,0.405515,05:49
14,1.277273,2.634248,0.722547,0.277453,0.417753,06:05
15,1.266238,2.735337,0.673585,0.326415,0.405661,05:50
16,1.143393,2.719231,0.682249,0.317751,0.419512,05:45
17,1.033829,2.919173,0.678823,0.321177,0.420670,05:46
18,0.988774,3.143835,0.674189,0.325811,0.383101,05:58
19,0.945096,3.304004,0.666331,0.333669,0.412263,06:23
20,0.911361,3.601326,0.653435,0.346565,0.411615,06:08
21,0.811447,3.666010,0.660689,0.339311,0.413037,05:52
22,0.711735,3.679933,0.662906,0.337094,0.404091,06:08
23,0.698250,3.946894,0.655047,0.344953,0.418086,08:42
24,0.631749,4.196860,0.652025,0.347975,0.412128,06:15
25,0.619199,4.153286,0.659279,0.340721,0.412958,05:49
26,0.581278,4.227327,0.655450,0.344550,0.409189,05:45
27,0.542884,4.265357,0.659480,0.340520,0.421880,06:31
28,0.547958,4.363089,0.657868,0.342132,0.414953,06:11
29,0.549988,4.419415,0.654846,0.345154,0.413229,05:53
