epoch,train_loss,valid_loss,error_rate,accuracy,time
0,1.089473,1.064988,0.474444,0.525556,00:42
1,1.071368,1.011085,0.460000,0.540000,00:29
2,1.045177,0.975243,0.447778,0.552222,00:34
3,1.026113,0.963186,0.446667,0.553333,00:31
4,1.011852,0.957911,0.446667,0.553333,00:31
5,1.004429,0.956369,0.445556,0.554444,00:30
6,0.996989,0.960820,0.447778,0.552222,00:28
7,0.993680,0.960359,0.447778,0.552222,00:33
8,0.993788,0.956386,0.450000,0.550000,00:31
9,0.991600,0.956437,0.442222,0.557778,00:31
10,0.988245,0.959048,0.445556,0.554444,00:31
11,0.985891,0.958909,0.448889,0.551111,00:32
12,0.987756,0.955611,0.452222,0.547778,00:37
13,0.985569,0.955041,0.447778,0.552222,00:31
14,0.983180,0.956988,0.448889,0.551111,00:30
15,0.981177,0.958752,0.451111,0.548889,00:30
16,0.984946,0.958258,0.448889,0.551111,00:30
17,0.982477,0.957716,0.450000,0.550000,00:34
18,0.983453,0.959841,0.453333,0.546667,00:35
19,0.985011,0.958327,0.447778,0.552222,00:37
20,0.984822,0.956258,0.455556,0.544444,00:33
21,0.984705,0.955583,0.453333,0.546667,00:33
22,0.983250,0.955990,0.454444,0.545556,00:30
23,0.988087,0.955263,0.452222,0.547778,00:30
24,0.983951,0.954929,0.452222,0.547778,00:32
25,0.982884,0.955590,0.453333,0.546667,00:29
26,0.981790,0.955566,0.454444,0.545556,00:30
27,0.982887,0.955420,0.458889,0.541111,00:34
28,0.981857,0.955057,0.455556,0.544444,00:29
29,0.983200,0.955248,0.453333,0.546667,00:30
